year,iso_code,collector,number,family,species,sp_code,qds,lat,long,pathway,weight,d.15NAIR,d.13CVPDB,X.N,X.C,C.N,d13_atmos,delta.disc,wetstart,wetend,wetlength,wetrain,wetdaily,wetlambda
1988,256,"Saayman, E.J.L.",91,Poaceae,Koeleria capensis,KC,2430DD,-24.875,30.875,C3,1.775,NA,-27.4,1,44.9,45.1,-7.804333333,20.14771403,21,81.5,60.5,904.2,14.57846153846155,32.53733333333335
1929,80,"Sandwith, C.",88,Poaceae,Hyparrhenia hirta,HH,3318CD,-33.875,18.375,C4,1.617,-0.6,-11.4,0.9,43.1,49.8,-6.841285714,4.611282911,114.66666666666667,259,144.33333333333334,434.56666666666666,2.9225308239786965,7.11436434847042
1929,95,"Sandwith, C.",130,Poaceae,Hyparrhenia hirta,HH,3318CD,-33.875,18.375,C4,1.828,-0.4,-11.3,0.3,41.3,123,-6.841285714,4.509673597,114.66666666666667,259,144.33333333333334,434.56666666666666,2.9225308239786965,7.11436434847042
1929,67,"Sandwith, C.",10,Poaceae,Hyparrhenia hirta,HH,3318CD,-33.875,18.375,C4,1.968,1.9,-11.1,1.2,43.5,34.8,-6.841285714,4.30651662,114.66666666666667,259,144.33333333333334,434.56666666666666,2.9225308239786965,7.11436434847042
1929,152,"Sandwith, C.",103B,Poaceae,Koeleria capensis,KC,3418BB,-34.125,18.875,C3,1.74,4.2,-26.8,1.1,43.5,40.8,-6.841285714,20.50833774,99,243,144,509.5,3.51379310344828,11.0760869565217
1946,300,"Schelpe, EACLE",1399,Poaceae,Koeleria capensis,KC,2828DD,-28.875,28.875,C3,1.86,NA,-24.9,1.3,46.7,36.5,-6.983,18.37452569,150,274,124,652.7,5.2216,14.5044444444444
1892,71,"Schlechter, F.R.R.",847,Poaceae,Pentameris pallida,PP,3318CD,-33.95,18.46666667,C3,1.178,2.8,-27.2,0.9,43.6,46.8,-6.830153626,20.939398,112.5,247.5,135,673.45,4.987171355776005,9.538203463203445
1896,240,"Schlechter, F.R.R.",9037,Poaceae,Pentameris pallida,PP,3319AC,-33.375,19.125,C3,1.84,NA,-29.1,0.5,45.7,83.8,-6.857648154,22.90900386,126,307,181,280.4,1.54500075494489,7.340336134453786
1929,131,"Skea, D.",69,Poaceae,Hyparrhenia hirta,HH,2528CC,-25.875,28.125,C4,1.621,2,-10.3,2.3,44.4,19.5,-6.841285714,3.494709797,140.5,279.5,139,558.25,3.99140114379085,12.8078689370485
1929,35,"Skea, D.",65,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.764,2.7,-10.6,1.2,41.1,35,-6.841285714,3.798983511,142.66666666666666,263,120.33333333333333,580.6333333333333,4.82154801051051,13.576086956521767
1929,2,"Skea, D.",21,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.973,4.1,-10.9,2.5,44.4,17.6,-6.841285714,4.103441801,142.66666666666666,263,120.33333333333333,580.6333333333333,4.82154801051051,13.576086956521767
1926,50,"Smith, C.A.",2296,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.823,12.2,-10.5,3.3,44.1,13.5,-6.966800343,3.570691922,69.5,259,189.5,556.1,2.9192212301587297,9.60107142857143
1932,18,"Smith, C.A.",6122,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.857,4.4,-10.5,1.8,42.9,23.3,-6.906,3.632137443,111,262,151,502.35,3.304934210526315,9.38925576519916
1932,37,"Smith, C.A.",6070,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.676,3.4,-10.7,2,42.7,21,-6.906,3.835034873,111,262,151,502.35,3.304934210526315,9.38925576519916
1932,34,"Smith, C.A.",6078B,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.653,3.9,-10.3,1.3,42.2,33.4,-6.906,3.429322017,111,262,151,502.35,3.304934210526315,9.38925576519916
1932,31,"Smith, C.A.",6074,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.807,4.5,-10.3,1.8,40.7,22.3,-6.906,3.429322017,111,262,151,502.35,3.304934210526315,9.38925576519916
1932,40,"Smith, C.A.",6238,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.531,3,-10.3,1.3,42,32.7,-6.906,3.429322017,111,262,151,502.35,3.304934210526315,9.38925576519916
1932,29,"Smith, C.A.",6133,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.874,5.5,-10.8,1.2,42.7,35.6,-6.906,3.936514355,111,262,151,502.35,3.304934210526315,9.38925576519916
1932,14,"Smith, C.A.",6059,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.673,1.3,-9.6,1.6,42.5,26.9,-6.906,2.720113086,111,262,151,502.35,3.304934210526315,9.38925576519916
1932,11,"Smith, C.A.",6079,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.847,5.6,-11.1,1.8,41.8,23.1,-6.906,4.241075943,111,262,151,502.35,3.304934210526315,9.38925576519916
1932,42,"Smith, C.A.",6072,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.856,5.2,-10.7,1.4,41.1,28.6,-6.906,3.835034873,111,262,151,502.35,3.304934210526315,9.38925576519916
1932,22,"Smith, C.A.",6249,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.901,4.7,-10.7,1.6,40.8,25.1,-6.906,3.835034873,111,262,151,502.35,3.304934210526315,9.38925576519916
1932,44,"Smith, C.A.",6078,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.983,4.4,-10.4,1.7,42.8,25.6,-6.906,3.530719483,111,262,151,502.35,3.304934210526315,9.38925576519916
1932,33,"Smith, C.A.",6248,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.717,6.3,-10.9,2.4,41.8,17.5,-6.906,4.038014356,111,262,151,502.35,3.304934210526315,9.38925576519916
1932,30,"Smith, C.A.",6137,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.945,4,-10.9,1.5,40,27.3,-6.906,4.038014356,111,262,151,502.35,3.304934210526315,9.38925576519916
1978,141,"Smook, L.",1078,Poaceae,Koeleria capensis,KC,2829CC,-28.875,29.125,C3,1.734,-1.6,-26.5,2.2,43.6,19.9,-7.502,19.51515152,81,292,211,1127.5,5.31839622641509,16.1071428571429
1978,315,"Smook, L.",1084,Poaceae,Koeleria capensis,KC,2829CC,-28.875,29.125,C3,1.801,-0.5,-26.5,2.1,44.7,21.3,-7.502,19.51515152,81,292,211,1127.5,5.31839622641509,16.1071428571429
1978,301,"Smook, L.",1044,Poaceae,Koeleria capensis,KC,2828DD,-28.875,28.875,C3,1.813,NA,-26.3,1.3,46,34.4,-7.502,19.30574099,81,292,211,1127.5,5.31839622641509,16.1071428571429
1978,168,"Smook, L.",1061,Poaceae,Koeleria capensis,KC,2929BC,-29.375,29.625,C3,1.929,4.8,-26.4,1.3,43.9,33.1,-7.502,19.4104355,81,275.5,194.5,739.9000000000001,3.7733314852948947,12.1927091740651
1979,314,"Smook, L.",1371,Poaceae,Koeleria capensis,KC,2829CC,-28.875,29.125,C3,1.893,-1.6,-25.7,1.8,44.6,25.4,-7.539666667,18.63936501,84,258,174,820,4.68571428571429,17.0833333333333
1979,183,"Smook, L.",1383,Poaceae,Koeleria capensis,KC,2929AD,-29.375,29.375,C3,1.758,1.2,-25.6,2.2,44.2,20.1,-7.539666667,18.53482485,114,247,133,850.2,6.34477611940298,12.8818181818182
1979,312,"Smook, L.",1376,Poaceae,Koeleria capensis,KC,2829CC,-28.875,29.125,C3,1.792,NA,-26.1,1.7,45.7,26.9,-7.539666667,19.05774036,84,258,174,820,4.68571428571429,17.0833333333333
1979,311,"Smook, L.",1377,Poaceae,Koeleria capensis,KC,2829CC,-28.875,29.125,C3,1.769,NA,-26.3,1.4,47.5,33.5,-7.539666667,19.26705693,84,258,174,820,4.68571428571429,17.0833333333333
1979,317,"Smook, L.",1379,Poaceae,Koeleria capensis,KC,2829CC,-28.875,29.125,C3,1.615,NA,-26.6,1.8,45,25.5,-7.539666667,19.58119307,84,258,174,820,4.68571428571429,17.0833333333333
1983,9,"Smook, L.",4761,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.837,3.2,-11.8,2,43.5,22,-7.65725,4.192218174,99.5,253,153.5,516.05,3.3939614986187854,11.555817682088886
1984,263,"Spies, J.J.",1565A,Poaceae,Koeleria capensis,KC,2530AC,-25.375,30.125,C3,1.817,3.1,-27.5,3,45.3,15.1,-7.6955,20.36452442,102,214,112,697.1,6.16902654867257,14.5229166666667
1986,69,"Spies, J.J.",3239,Poaceae,Pentameris pallida,PP,3318CD,-33.875,18.375,C3,1.819,0.4,-29.3,1.1,42.3,37.5,-7.734,22.21695684,135,258,123,611.0333333333333,4.806425364758697,9.72762923351159
1986,91,"Spies, J.J.",3239,Poaceae,Pentameris pallida,PP,3318CD,-33.875,18.375,C3,1.857,3.2,-29.7,1.2,41.2,33.8,-7.734,22.63835927,135,258,123,611.0333333333333,4.806425364758697,9.72762923351159
1987,99,"Spies, J.J.",3433,Poaceae,Pentameris pallida,PP,3418AB,-34.125,18.375,C3,1.673,1.9,-29.9,1.2,42.1,35.4,-7.7495,22.83321307,123,266,143,898.6,6.24027777777778,14.4935483870968
1987,101,"Spies, J.J.",3439,Poaceae,Pentameris pallida,PP,3418AB,-34.125,18.375,C3,1.754,1.5,-30.6,1.6,43.8,27,-7.7495,23.57179699,123,266,143,898.6,6.24027777777778,14.4935483870968
1987,83,"Spies, J.J.",3652,Poaceae,Pentameris pallida,PP,3318CD,-33.875,18.375,C3,1.65,0.9,-29.9,1.1,43.3,38.9,-7.7495,22.83321307,102,266,164,773,4.68484848484848,11.2028985507246
1988,164,"Spies, J.J.",3860,Poaceae,Pentameris pallida,PP,3319AD,-33.375,19.375,C3,1.912,8,-29.6,1.6,45.2,28.1,-7.804333333,22.46049739,92,269,177,427.8,2.40337078651685,7.37586206896552
1988,104,"Spies, J.J.",3911,Poaceae,Pentameris pallida,PP,3418AB,-34.125,18.375,C3,1.651,7,-31,1.4,43.7,30.9,-7.804333333,23.9377365,110,258,148,771.6,5.17852348993289,12.6491803278689
1988,161,"Spies, J.J.",3859,Poaceae,Pentameris pallida,PP,3319AD,-33.375,19.375,C3,1.659,-3.6,-29.5,2.5,44.2,17.7,-7.804333333,22.3551434,92,269,177,427.8,2.40337078651685,7.37586206896552
1969,238,"Stehle, T.C.",TS.230,Poaceae,Pentameris densifolia,PP,3319AC,-33.375,19.125,C3,1.729,0.8,-31.3,2.6,46.2,17.8,-7.305,24.77031073,157.33333333333334,289,131.66666666666666,284.46666666666664,2.31113670120898,9.31299140345792
1919,20,"Stent, S.M.",PRE19940,Poaceae,Hyparrhenia hirta,HH,2528CA,-25.625,28.125,C4,1.92,4.5,-10.5,0.9,40.9,44.4,-6.94453502,3.593193512,139.5,262,122.5,551.2,4.466137079831935,10.913960784313751
1919,53,"Stent, S.M.",PRE 19939,Poaceae,Hyparrhenia hirta,HH,2528CA,-25.625,28.125,C4,1.738,5.9,-10.2,1.2,42,35.7,-6.94453502,3.289012912,139.5,262,122.5,551.2,4.466137079831935,10.913960784313751
1929,151,"Stent, S.M.",PRE 8088,Poaceae,Digitaria eriantha,DE,2528CC,-25.875,28.125,C4,1.803,4.2,-10.6,1.6,42.2,25.7,-6.841285714,3.798983511,140.5,279.5,139,558.25,3.99140114379085,12.8078689370485
1971,332,Stephen; Oakes,154;1394,Poaceae,Digitaria eriantha,DE,2531BB,-25.0709,31.5458,C4,1.826,4.8,-11,2.6,45.5,17.3,-7.3475,3.693124368,132.5,286.5,154,495.5,5.630425312392525,12.076076555023938
